numero,numeroCamara,titulo,estado,estadoAnotacion,comision,fechaRadicado,legislatura,url,origen,tipoLey,fechaEnvioComision,fechaPresentacion,fechaAprobacionPrimerDebate,fechaAprobacionSegundoDebate,fechaConciliacion,autores,exposicionMotivos,primeraPonencia,segundaPonencia,textoPlenaria,conciliacion,objeciones,concepto,textoRehecho,sentenciaCorte
"N 318/23",239/22,"POR MEDIO DE LA CUAL SE RECONOCE COMO PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN EL FESTIVAL PROVINCIANO DE ACORDEONES, CANCIÓN INÉDITA Y PIQUERÍA, DEL MUNICIPIO DE PIVIJAY MAGDALENA, Y SE DICTAN OTRAS DISPOSICIONES","PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN SENADO","",SEGUNDA,2022-10-12,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/333-por-medio-de-la-cual-se-reconoce-como-patrimonio-cultural-inmaterial-de-la-nacion-el-festival-provinciano-de-acordeones-cancion-inedita-y-piqueria-del-municipio-de-pivijay-magdalena-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-10-12,,,,"[""H.R. SANDRA MILENA RAMÍREZ CAVIEDES""]",,,,,,,,,
"N 317/23",63/22,"POR MEDIO DEL CUAL SE GARANTIZA LA PROTECCIÓN DE LOS DERECHOS DE LAS MUJERES GESTANTES, MADRES EN PERIODO DE LACTANCIA Y PADRES EN LICENCIA DE PATERNIDAD EN LAS INSTITUCIONES EDUCATIVAS DEL PAÍS","PENDIENTE DESIGNAR PONENTES EN SENADO","",SEXTA,2022-07-27,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/332-por-medio-del-cual-se-garantiza-la-proteccion-de-los-derechos-de-las-mujeres-gestantes-madres-en-periodo-de-lactancia-y-padres-en-licencia-de-paternidad-en-las-instituciones-educativas-del-pais,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-07-27,,,,"[""H.R. ARMANDO ANTONIO ZABARAÍN DE ARCE""]",,,,,,,,,
"N 316/22",234/22,"POR MEDIO DE LA CUAL SE DECLARA PATRIMONIO NACIONAL INMATERIAL EL FESTIVAL DE TAMBORA TRADICIONAL EN EL MUNICIPIO DE GAMARRA, EN EL DEPARTAMENTO DEL CESAR Y SE DICTAN OTRAS DISPOSICIONES","PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN SENADO","",SEGUNDA,2022-10-10,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/331-por-medio-de-la-cual-se-declara-patrimonio-nacional-inmaterial-el-festival-de-tambora-tradicional-en-el-municipio-de-gamarra-en-el-departamento-del-cesar-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-10-10,,,,"[""H.R. LIBARDO CRUZ CASADO"",""H.R.ALFREDO APE CUELLO BAUTE""]",,,,,,,,,
"N 315/23",151/22,"POR MEDIO DE LA CUAL LA NACIÓN SE ASOCIA PARA RENDIR PÚBLICO HOMENAJE AL MUNICIPIO DE SOLEDAD EN EL DEPARTAMENTO DEL ATLÁNTICO, EXALTANDO Y RECONOCIENDO SU RIQUEZA CULTURAL Y SE DICTAN OTRAS DISPOSICIONES","PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN SENADO","",SEGUNDA,2022-08-24,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/330-por-medio-de-la-cual-la-nacion-se-asocia-para-rendir-publico-homenaje-al-municipio-de-soledad-en-el-departamento-del-atlantico-exaltando-y-reconociendo-su-riqueza-cultural-y-se-dictan-otras-disposiciones,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-08-24,,,,"[""AGMETH JOSÉ ESCAF TIJERINO"",""ARMANDO ANTONIO ZABARAÍN DE ARCE"",""BETSY JUDITH PÉREZ ARANGO"",""CÉSAR CRISTIAN GÓMEZ CASTRO"",""DOLCEY OSCAR TORRES ROMERO"",""H.R. JEZMI LIZETH BARRAZA ARRAUT"",""HERNANDO GUIDA PONCE"",""MODESTO ENRIQUE AGUILERA VIDES""]",,,,,,,,,
"N 314/23",256/22,"POR MEDIO DEL CUAL SE INSTAURA EL 28 DE OCTUBRE COMO EL DÍA NACIONAL DEL DEPORTISTA COLOMBIANO","PENDIENTE RENDIR PONENCIA PARA PRIMER DEBATE EN SENADO","",SEGUNDA,2022-10-26,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/329-por-medio-del-cual-se-instaura-el-28-de-octubre-como-el-dia-nacional-del-deportista-colombiano,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-10-26,,,,"[""H.R. DORINA HERNÁNDEZ PALOMINO""]",,,,,,,,,
"N 313/23",18/22,"POR MEDIO DE LA CUAL SE ARMONIZA LA NORMATIVIDAD VIGENTE EN MATERIA TRIBUTARIA RESPECTO A LAS FAMILIAS CON HIJOS DEPENDIENTES O EN SITUACIÓN DE DISCAPACIDAD","PENDIENTE DE ENVIAR A COMISIÓN EN SENADO","",TERCERA,2022-07-21,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/328-por-medio-de-la-cual-se-armoniza-la-normatividad-vigente-en-materia-tributaria-respecto-a-las-familias-con-hijos-dependientes-o-en-situacion-de-discapacidad,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-07-21,,,,"[""ALEJANDRO ALBERTO VEGA PÉREZ"",""CARLOS FELIPE QUINTERO OVALLE"",""DIEGO PATIÑO AMARILES"",""H.R. JULIÁN PEINADO RAMÍREZ"",""H.S. JOHN JAIRO ROLDÁN AVENDAÑO"",""JEZMI LIZETH BARRAZA ARRAUT"",""LUIS CARLOS OCHOA TOBÓN""]",,,,,,,,,
"N 312/23",76/22,"POR MEDIO DEL CUAL SE MODIFICA EL ARTÍCULO 163 DE LA LEY 100 DE 1993","PENDIENTE DESIGNAR PONENTES EN SENADO","",SEPTIMA,2022-07-27,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/327-por-medio-del-cual-se-modifica-el-articulo-163-de-la-ley-100-de-1993,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-07-27,,,,"[""ANDRÉS DAVID CALLE AGUAS"",""DOLCEY OSCAR TORRES ROMERO"",""GERMÁN ROGELIO ROZO ANÍS"",""H.R. OSCAR HERNÁN SÁNCHEZ LEÓN"",""H.S. ALEJANDRO ALBERTO VEGA PÉREZ"",""HÉCTOR DAVID CHAPARRO CHAPARRO"",""JAIRO HUMBERTO CRISTO CORREA""]",,,,,,,,,
"N 311/23",87/22,"POR MEDIO DE LA CUAL SE RECONOCE EL FESTIVAL DEPARTAMENTAL DE BANDAS DE CUNDINAMARCA COMO MANIFESTACIÓN DEL PATRIMONIO CULTURAL INMATERIAL DE LA NACIÓN","PENDIENTE DESIGNAR PONENTES EN SENADO","",SEXTA,2022-07-28,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/326-por-medio-de-la-cual-se-reconoce-el-festival-departamental-de-bandas-de-cundinamarca-como-manifestacion-del-patrimonio-cultural-inmaterial-de-la-nacion,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-07-28,,,,"[""CARLOS ALBERTO CUENCA CHAUX"",""H.R. NESTOR LEONARDO RICO RICO"",""JOHN EDGAR PÉREZ ROJAS""]",,,,,,,,,
"N 310/23",145/22,"POR MEDIO DE LA CUAL SE MODIFICA LA LEY 769 DE 2002 Y SE DICTAN OTRAS DISPOSICIONES ""SANCIONES A LOS MOTOCICLISTAS","PENDIENTE DESIGNAR PONENTES EN SENADO","",SEXTA,2022-08-18,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/325-por-medio-de-la-cual-se-modifica-la-ley-769-de-2002-y-se-dictan-otras-disposiciones-sanciones-a-los-motociclistas,"CÁMARA DE REPRESENTANTES",ORDINARIA,2023-04-27,2022-08-18,,,,"[""H.R.JUAN CARLOS LOZADA VARGAS"",""H.S. ALEJANDRO ALBERTO VEGA PÉREZ"",""JULIÁN PEINADO RAMÍREZ"",""LAURA ESTHER FORTICH SANCHEZ"",""OSCAR HERNÁN SÁNCHEZ LEÓN""]",,,,,,,,,
"N 309/23",,"POR MEDIO DEL CUAL SE PROHÍBEN   EN TODO EL TERRITORIO  NACIONAL, EL DESARROLLO DE LAS ACTIVIDADES DE CORRIDAS DE TOROS, REJONEO, NOVILLADAS,  BECERRADAS Y TIENTAS, ENCIERROS Y SUELTA DE VAQUILLAS, ASÍ COMO LOS PROCEDIMIENTOS UTILIZADOS EN ESTOS ESPECTÁCULOS, TANTO EN EL ÁMBITO PÚBLICO COMO EN EL PRIVADO","PENDIENTE DISCUTIR PONENCIA PARA PRIMER DEBATE EN SENADO","",SEXTA,2023-04-26,2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-ley/cuatrenio-2022-2026/2022-2023/article/324-por-medio-del-cual-se-prohiben-en-todo-el-territorio-nacional-el-desarrollo-de-las-actividades-de-corridas-de-toros-rejoneo-novilladas-becerradas-y-tientas-encierros-y-suelta-de-vaquillas-asi-como-los-procedimientos-utilizados-en-estos-espectaculos-tanto-en-el-ambito-publico-como-en-el-privado,"SENADO DE LA REPUBLICA",ORDINARIA,2023-05-05,2023-04-26,,,,"[""ALEX XAVIER FLOREZ HERNÁNDEZ"",""ALEXANDER LÓPEZ MAYA"",""ANTONIO JOSÉ CORREA JIMÉNEZ"",""ARIEL FERNANDO AVILA MARTÍNEZ"",""AÍDA QUILCUE VIVAS"",""AÍDA YOLANDA AVELLA ESQUIVEL"",""CATALINA PÉREZ PÉREZ"",""CLARA EUGENIA LÓPEZ OBREGÓN"",""DAVID ALEJANDRO TORO RAMÍREZ."",""DAVID RICARDO RACERO MAYORCA"",""Dr. JORGE IGNACIO ZORRO"",""EDUARD GIOVANNY SARMIENTO HIDALGO"",""ERICK ADRIAN VELASCO BURBANO"",""GLORIA INÉS FLOREZ SCHNEIDER"",""IMELDA DAZA COTES"",""INTI ASPRILLA REYES"",""ISABEL CRISTINA ZULETA LÓPEZ"",""IVAN CEPEDA CASTRO"",""JAIRO ALBERTO CASTELLANOS SERRANO"",""JONATHAN PULIDO HERNÁNDEZ"",""JORGE ALEJANDRO OCAMPO GIRALDO"",""JORGE ANDRES CANCIMANCE LÓPEZ"",""JULIAN GALLO CUBILLOS"",""LEIDER ALEXANDRA VÁSQUEZ OCHOA"",""LUVI KATHERINE MIRANDA PEÑA"",""MARIA DEL MAR PIZARRO"",""MARIA FERNANDA CARRASCAL ROJAS"",""MARIA JOSÉ PIZARRO RODRÍGUEZ"",""MARTHA ISABEL PERALTA EPIEYÚ"",""MARTHA LISBETH ALFONSO JURADO"",""Ministro de Cultura"",""NICOLAS ALBEIRO ECHEVERRY"",""OMAR DE JESUS  RESTREPO CORREA"",""PAULINO RIASCOS RIASCOS"",""PEDRO HERNANDO FLOREZ PORRAS"",""PIEDAD ESNEDA CORDOBA RUÍZ"",""POLIVIO ROSALES CADENA"",""ROBERT DAZA GUEVARA"",""SANDRA RAMÍREZ LOBO SILVA"",""SANDRA YANETH JAIMES CRUZ"",""SANTIAGO OSORIO MARIN"",""WILSON ARIAS CASTILLO"",""con el acompañamiento de los Honorables Senadores ESMERALDA HERNÁNDEZ SILVA"",""y los Honorables Representantes DUVALIER SANCHEZ ARANGO""]",http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_399.pdf,http://leyes.senado.gov.co/proyectos/images/documentos/Textos%20Radicados/Ponencias/2023/gaceta_477.pdf,,,,,,,
