numero,numeroCamara,titulo,estado,origen,acumulados,legislatura,url,fechaDePresentacion,autores,ponentesPrimerDebate
038/22PAL,120/22,"POR MEDIO DEL CUAL SE MODIFICAN LOS ARTÍCULOS 67, 68, 69 Y 189 DE LA CONSTITUCIÓN POLÍTICA, Y SE CREA LA SUPERINTENDENCIA DE EDUCACIÓN","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/38-por-medio-del-cual-se-modifican-los-articulos-67-68-69-y-189-de-la-constitucion-politica-y-se-crea-la-superintendencia-de-educacion,2022-08-09,"[""Honorables Senadores:"",""H.S.Alejandro Alberto Vega Pérez"",""H.S.Norma Hurtado Sánchez"",""H.S.Juan Felipe Lemos Uribe"",""Honorables Representantes:"",""H.R.Jorge Eliécer Tamayo Marulanda"",""H.R.Teresa De Jesús Enríquez Rosero"",""H.R.Alexander Guarín Silva"",""H.R.Diego Fernando Caicedo Navas"",""H.R.Milene Jarava Díaz"",""H.R.Ana Paola García Soto"",""H.R.Hernando Guida Ponce"",""H.R.Julián Peinado Ramírez"",""H.R.Dolcey Oscar Torres Romero"",""H.R.Jorge Méndez Hernández"",""H.R.Oscar Hernán Sánchez León"",""H.R.Wilmer Ramiro Carrillo Mendoza"",""H.R.Ana Rogelia Monsalve Álvarez"",""H.R.Julián David López Tenorio"",""H.R.Camilo Esteban Ávila Morales"",""H.R.Luis David Súarez Chadid"",""H.R.Marelen Castillo Torres"",""H.R.José Eliécer Salazar López"",""H.R.Víctor Manuel Salcedo Guerrero"",""H.R.Hernando González"",""H.R.Luis Alberto Albán Urbano"",""H.R.Jairo Humberto Cristo Correa""]","[""H.S. ALFREDO DELUQUE ZULETA""]"
036/22PAL,185/22,"POR EL CUAL SE OTORGA AL MUNICIPIO DE MANIZALES (CALDAS) LA CATEGORÍA DE DISTRITO ESPECIAL -EJE DEL CONOCIMIENTO","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/36-por-el-cual-se-otorga-al-municipio-de-manizales-caldas-la-categoria-de-distrito-especial-eje-del-conocimiento,2022-09-07,"[""Honorables Senadores:"",""Guido Echeverri Piedrahita"",""Sor Berenice Bedoya Pérez"",""Juan Pablo Gallo Maya"",""Angélica lisbeth lozano correa"",""Gustavo Adolfo Moreno Hurtado"",""Honorables Representantes:"",""Juan Sebastián Gómez Gonzáles"",""Wilder Iberson Escobar Ortiz"",""Wilmer Yair Castellanos Hernández"",""Juana Carolina Londoño Jaramillo"",""Santiago Osorio Marín"",""José Octavio Cardona León""]","[""H.S. Fabio Amin Saleme.""]"
043/23PAL,,"POR MEDIO DEL CUAL SE MODIFICAN LOS ARTICULOS 67, 68, 69 Y 189 DE LA CONSTITUCION POLITICA  Y SE REGULARIZAN  LA INSPECCION, VIGILANCIA Y CONTROL EN LA EDUCACION","ARCHIVADO,","SENADO DE LA REPUBLICA",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/43-por-medio-del-cual-se-modifican-los-articulos-67-68-69-y-189-de-la-constitucion-politica-y-se-regularizan-la-inspeccion-vigilancia-y-control-en-la-educacion,2023-03-28,"[""H.S. JULIO ELIAS VIDAL"",""JHON MOISES BESAILE"",""ALEJANDRO VEGA PEREZ"",""MIGUEL ANGEL PINTO HERNANDEZ"",""ROY BARRERAS MONTEALGRE"",""ABRAHAM JIMENEZ"",""GERMAN BLANCO"",""ALEJANDRO CARLOS CHACON CAMARGO"",""CARLOS MOTTOA SOLARTE"",""JULIAS ELIAS CHAGUI FLOREZ"",""JUAN FELIPE LEMUS"",""JOSE LUIS PEREZ OYUELA"",""JOSE ALFREDO GNECCO  ZULETA"",""ANGELICA LOZANO"",""ALEXANDER LOPEZ MAYA"",""FABIO RAUL AMIN SALEME"",""JORGE ELICER TAMAYO MARULANDA"",""JOSE ELICEER SALAZAR LOPEZ"",""HERNANDO GUIDO PONCE"",""ASTRID SANCHEZ MONTES DE OCA"",""ALEXANDER GUARIN SILVA"",""TERESA ENRIQUEZ ROSERO"",""CAMILO ESTEBAN AVILA MORALES"",""HERNANDO GONZALEZ y otras firmas""]",[]
034/22PAL,,"POR MEDIO DEL CUAL SE MODIFICAN LOS ARTÍCULOS 328 Y 356 DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA Y SE OTORGA LA CATEGORÍA DE DISTRITO ESPECIAL TURÍSTICO, ECONÓMICO Y CULTURAL AL MUNICIPIO DE GIRARDOT EN EL DEPARTAMENTO DE CUNDINAMARCA","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","SENADO DE LA REPUBLICA",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/34-por-medio-del-cual-se-modifican-los-articulos-328-y-356-de-la-constitucion-politica-de-colombia-y-se-otorga-la-categoria-de-distrito-especial-turistico-economico-y-cultural-al-municipio-de-girardot-en-el-departamento-de-cundinamarca,2022-10-24,"[""Honorables Senadores GUSTAVO BOLIVAR MORENO"",""ROBERT DAZA GUEVARA"",""ALEXANDER LOPEZ MAYA"",""OMAR RESTREPO CORREA"",""AIDA AVELLO ESQUIVEL"",""CLARA LOPEZ OBREGON"",""SANDRA RAMIREZ LOBO SILVA"",""IVAN CEPEDA"",""CASTRO"",""JAEL QUIROGA"",""ESMERLDA HERNANDEZ SILVA""]","[""H.S. ALEXANDER LOPEZ MAYA""]"
039/22PAL,214/22,"POR MEDIO DEL CUAL SE INTERPRETA EL PARÁGRAFO 2° DEL ARTÍCULO TRANSITORIO 5° DEL ACTO LEGISLATIVO 02 DE 2021","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/39-por-medio-del-cual-se-interpreta-el-paragrafo-2-del-articulo-transitorio-5-del-acto-legislativo-02-de-2021,2022-09-28,"[""H.R.Jorge Alejandro Ocampo Giraldo"",""H.R.Eduard Giovanny Sarmiento Hidalgo"",""H.R.Carlos Felipe Quintero Ovalle"",""H.R.Álvaro Leonel Rueda caballero"",""H.R.Jorge Eliécer Tamayo Marulanda"",""H.R.Heraclito Landinez Suárez"",""H.R.Luis Alberto Albán Urbano"",""H.R.Alirio Uribe Muñoz"",""H.R.Pedro José Súarez Vacca"",""H.R.Luz María Múnera Medina"",""H.R.Marelen Castillo Torres"",""H.R.Astrid Sánchez Montes De Oca"",""H.R.Pedro Baracutao García Ospina"",""H.R.Juan Carlos Wills Ospina"",""H.R.Luis Eduardo Díaz Mateus"",""H.R.Yulieth Andrea Sánchez Carreño"",""H.R.Erick Adrián Velasco Burbano"",""H.R.Camilo Esteban Ávila Morales"",""H.R.Víctor Manuel Salcedo Guerrero"",""H.R.Héctor Mauricio Cuéllar Pinzón"",""H.R.Carlos Alberto Cuenca Chaux"",""H.R.Wadith Alberto Manzur Imbett"",""H.R.Julián Peinado Ramírez"",""H.R.Jezmi Lizeth Barraza Arraut"",""H.R.María Eugenia Lopera Monsalve"",""H.R.Juan Diego Muñoz Cabrera"",""H.R.Piedad Correal Rubiano""]","[""H.S. ALEJANDRO CARLOS CHACON CAMARGO""]"
040/22PAL,156/22,"POR MEDIO DEL CUAL SE MODIFICAN LOS ARTÍCULOS 171 Y 262 DE LA CONSTITUCIÓN POLÍTICA","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/40-por-medio-del-cual-se-modifican-los-articulos-171-y-262-de-la-constitucion-politica,2022-08-24,"[""Honorables Senadores:"",""Didier Lobo Chinchilla"",""Edgar Díaz Contreras"",""Jorge Enrique Benedetti Martelo"",""Jose Luis Pérez Oyuela"",""Alejandro Alberto Vega Pérez"",""Honorables Representantes:"",""Jorge Méndez Hernández"",""Carlos Alberto Cuenca Chaux"",""Hernando González"",""Jaime Rodríguez Contreras"",""Lina María Garrido Martín"",""Modesto Enrique Aguilera Vides"",""Betsy Judith Pérez Arango"",""Javier Alexander Sánchez Reyes"",""Álvaro Mauricio Londoño Lugo"",""Hugo Alfonso Archila Suárez"",""Germán Rogelio Rozo Anís"",""Alexander Guarín Silva"",""Astrid Sánchez Montes De Oca""]",[]
035/22PAL,173/22,"POR EL CUAL SE REFORMA LA CONSTITUCION POLITICA DE COLOMBIA Y SE ESTABLECE LA JURISDICCIÓN AGRARIA Y RURAL","ACTO LEGISLATIVO,  Acto Legislativo 03 de 2023 , segunda vuelta - Aprobada conciliación Senado 14/06/2023","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/35-por-el-cual-se-reforma-la-constitucion-politica-de-colombia-y-se-establece-la-jurisdiccion-agraria-y-rural,2022-08-31,"[""Ministro del Interior - Alfonso Prada Gil"",""Ministro de Justicia y del Derecho - Nestor Ivan Osuna Patiño""]","[""H.S. ALEXANDER LÓPEZ MAYA""]"
037/22PAL,117/22,"POR MEDIO DEL CUAL SE MODIFICAN LOS ARTÍCULOS 356 Y 357 DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/37-por-medio-del-cual-se-modifican-los-articulos-356-y-357-de-la-constitucion-politica-de-colombia,2022-08-05,"[""H.S.Angélica lisbeth lozano correa"",""H.S.Edwing Fabián Díaz Plata"",""H.S.Iván Leonidas Name Vásquez"",""H.S.Andrea Padilla Villarraga H.R.Olga Lucia Velásquez Nieto"",""H.R.Elkin Rodolfo Ospina Ospina"",""H.R.Luvi Katherine Miranda Peña"",""H.R.Juan Diego Muñoz Cabrera"",""H.R.Carolina Giraldo Botero"",""H.R.Catherine Juvinao Clavijo"",""H.R.Duvalier Sánchez Arango"",""H.R.Daniel Carvalho Mejía"",""H.R.Jaime Raúl Salamanca Torres"",""H.R.Juan Camilo Londoño Barrera"",""H.R.Julia Miranda Londoño"",""H.R.Juan Sebastián Gómez Gonzáles"",""H.R.Cristian Danilo Avendaño Fino""]","[""H.S: Ariel Avila Martinez""]"
042/22PAL,027/22,"POR EL CUAL SE MODIFICA EL ARTÍCULO 67 DE LA CONSTITUCIÓN POLÍTICA DE COLOMBIA","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/42-por-el-cual-se-modifica-el-articulo-67-de-la-constitucion-politica-de-colombia,2022-07-21,"[""Honorable Senador:"",""H.S.David Andrés Luna Sánchez"",""Honorables Representantes:"",""Jairo Humberto Cristo Correa"",""Germán Rogelio Rozo Anís"",""Víctor Andrés Tovar Trujillo"",""Oscar Rodrigo Campo Hurtado"",""Jorge Méndez Hernández"",""Jaime Rodríguez Contreras"",""Modesto Enrique Aguilera Vides"",""Julio César Triana Quintero"",""Adriana Carolina Arbeláez Giraldo"",""Gersel Luis Pérez Altamiranda"",""John Edgar Pérez Rojas"",""Lina María Garrido Martín"",""Javier Alexander Sánchez Reyes"",""Betsy Judith Pérez Arango"",""Hernando González""]",[]
041/22PAL,139/22,"POR EL CUAL SE MODIFICAN LOS ARTÍCULOS 328 Y 356 DE LA CONSTITUCIÓN POLÍTICA OTORGÁNDOLE LA CATEGORÍA DE DISTRITO TURÍSTICO, CULTURAL, HISTÓRICO Y DE TECNOLOGÍA AL MUNICIPIO DE PUERTO COLOMBIA EN EL DEPARTAMENTO DEL ATLÁNTICO.","ARCHIVADO,  ARCHIVADO CONFORME EL ARTICULO 375 DE LA CONSTITUCIÓN POLÍTICA.","CAMARA DE REPRESENTANTES",[],2022-2023,http://leyes.senado.gov.co/proyectos/index.php/proyectos-de-acto-legislativo/cuatrenio-2022-2026/2022-2023/article/41-por-el-cual-se-modifican-los-articulos-328-y-356-de-la-constitucion-politica-otorgandole-la-categoria-de-distrito-turistico-cultural-historico-y-de-tecnologia-al-municipio-de-puerto-colombia-en-el-departamento-del-atlantico,2022-08-16,"[""Honorables Representantes: Dolcey Oscar Torres Romero"",""Armando Antonio Zabaraín de Arce"",""Modesto Enrique Aguilera Vides"",""Ana Rogelia Monsalve Álvarez"",""Jezmi Lizeth Barraza Arraut"",""Álvaro Henry Monedero Rivera"",""Diego Patiño Amariles"",""Agmeth José Escaf Tijerino"",""Elizabeth Jay-Pang Díaz"",""Oscar Hernán Sánchez León""]","[""H.S. ALFREDO DELUQUE ZULETA""]"
